Column	Adipocytes_SRR1296133	CD4_SRR1422906	HMVEC_SRR2776477	M1_SRR2910670	M2_SRR2939149	P-value	Pearson Correlation	RMSE	
29	0.42410139364217436	0.2697214058587515	0.12412025210867463	0.001340263052030961	0.18071668533836857	0.0	0.6593826438768721	0.7530933839514944
30	0.17773447079320864	0.47189642180440666	0.2504334787082238	0.0028216990304013208	0.09711392966375959	0.01	0.5474532997037612	0.8459910758245142
31	0.0840934999593189	0.27566439997902015	0.47627862484707184	0.0024040492986928427	0.16155942591589614	0.0	0.7087493920556084	0.7165377651117582
32	0.18714834574003766	0.7091426427314106	0.0020502917976056214	0.0026706674573673634	0.09898805227357879	0.01	0.5121125710791142	0.8705166033165694
33	0.3319708201703573	0.2357905280690359	0.3314221142972149	0.00281585284275477	0.09800068462063717	0.0	0.6429342331312758	0.7663228524072657
34	0.25000743662011	0.250254008958526	0.19934966491184003	0.0013227468979660727	0.29906614261155795	0.0	0.6077513698686753	0.805180146880138
35	0.254396766532512	0.38995021587771234	0.18974116391786175	0.003524959332690626	0.16238689433922326	0.01	0.5921057407879886	0.8182182233452537
36	0.02223392422776486	0.5164996724513325	0.2618525832034841	0.007108829236377862	0.1923049908810406	0.01	0.5804323852088298	0.8388440311158578
37	0.060857434507123415	0.09590793546335227	0.5397251041151678	8.645610762650314E-4	0.30264496483809145	0.0	0.6777177140563505	0.7349650653721937
38	0.10969233722557956	0.5257343104724918	0.06673112329002436	0.003177321589747451	0.2946649074221569	0.01	0.4822670367183324	0.8902836256081615
39	0.4232430509616762	0.06801967557997682	0.3204953073902654	0.0010738653415629088	0.1871681007265187	0.0	0.6508879732792897	0.7605751836903192
40	0.2762655514320241	0.1073306891030095	0.5350440976358521	2.624075263028123E-4	0.0810972543028115	0.0	0.6221919794081148	0.7904485558553963
41	0.4518605178974254	0.3780605220249954	0.09486241454027605	0.0028852812995916314	0.07233126423771156	0.0	0.6291135916418283	0.7768739479352991
42	0.17800718066541543	0.18371248001005397	0.3099113482613164	0.005569278308439083	0.32279971275477515	0.01	0.5686843804256492	0.825143430219282
43	0.28868582569430473	0.1415336472054412	0.3756311089068461	0.001985746517764976	0.19216367167564302	0.0	0.6040161537104811	0.7964518227391949
44	0.36975729671181046	0.08128110112240726	0.45179532367526354	2.185246740727683E-5	0.09714442602311146	0.0	0.6598603572717071	0.7549194038642021
45	0.11438042710408847	0.24411576090386342	0.42460305746683763	0.0037830507117076464	0.2131177038135028	0.01	0.5522372578500603	0.8332852954033232
46	0.23665314504361523	0.03607800307376906	0.5909867804127656	0	0.13628207146985016	0.01	0.5885921034494794	0.8284324781944072
47	0.41419652426098363	0.24949996190468893	0.10584220639637891	0.0013989318744875342	0.22906237556346093	0.0	0.6562220940082305	0.7563247762237534
48	0.035759549271976845	0.4153202643634302	0.28358432690148416	0.003010079709577388	0.26232577975353133	0.01	0.5664238558413336	0.8402113197973547
49	0.2550660736819847	0.3110693406982977	0.37071872455113425	0	0.06314586106858336	0.01	0.5928808793741005	0.8052323009722949
50	0.3030445587396421	0.35065623034222904	0.2263985666170852	0.0015516090836243158	0.1183490352174194	0.0	0.6569994725989071	0.7675081975098282
51	0.41467055415976134	0.13457166373073226	0.22121013865281386	0.0020205717513456373	0.22752707170534697	0.0	0.6631069365145968	0.7482771591223982
