Column	adipocyte	cd4	MVEC	m1_macro	m2_macro	P.value	Pearson.Correlation	RMSE
SRR1085996	0.426096852196089	0.0133517772794797	0.468341487920857	0.000410568467138538	0.0917993141364355	0.0201005025125628	0.186558387011778	1.17149128824503
SRR1090407	0.517020713930354	0	0.412847975736172	0	0.0701313103334739	0.00402010050251256	0.308925677484828	1.10318079386854
SRR1091380	0.687201924325437	0.0251285130276545	0.282810233963981	0.00303172926368302	0.00182759941924445	0	0.461113959401987	1.02437870992631
SRR1091572	0.756019333206478	0	0.163945910105985	0	0.0800347566875369	0.00201005025125628	0.359399856512414	1.1433650621467
SRR1093148	0.76930232884002	0.0133408904972116	0.125765937522753	0.00236892127093395	0.0892219218690813	0	0.583309797228898	0.92584348034837
SRR1095455	0.702209423260362	0	0.226187869048707	0	0.0716027076909309	0	0.775356083680515	0.663051750104428
SRR1095575	0.589448339456938	0.000657036948041911	0.395385208579066	8.17148160062152e-05	0.0144277001999477	0	0.50453854919726	0.961592459746547
SRR1096383	0.504088726405269	0	0.462440081967409	0	0.0334711916273223	0.00804020100502513	0.275032773250238	1.14077858390187
SRR1096712	0.437044052420394	0	0.469614494245969	0	0.0933414533336367	0.0201005025125628	0.187216635421453	1.17765114134581
SRR1097013	0.550371373407865	0	0.414221824396732	0	0.0354068021954029	0.00201005025125628	0.373892740818734	1.066490017034
SRR1099072	0.538383965670087	0	0.369189917490897	0	0.0924261168390163	0.00804020100502513	0.271292120768049	1.12957083068722
SRR1099096	0.779250074467565	0.00125528091932481	0.14278382726864	0	0.0767108173444704	0	0.724390388660268	0.760177299300463
SRR1100419	0.292318386298192	0	0.558495327117211	0	0.149186286584597	0.0311557788944724	0.14962800420113	1.18917579625218
SRR1100677	0.642687851924588	0	0.309612922273045	0	0.0476992258023671	0.0120603015075377	0.243397192997634	1.19361268260052
SRR1101643	0.41025638628303	0	0.495840579442493	0	0.0939030342744766	0.0150753768844221	0.211722171534251	1.15943785120622
SRR1102631	0.611126204534992	0.00141182014924399	0.317163978884866	0	0.0702979964308979	0	0.606792392968758	0.850799986994417
SRR1105198	0.348308274694791	0	0.421846098175531	0	0.229845627129678	0.0201005025125628	0.18646870710118	1.12694478086496
SRR1309160	0.534622849695868	0	0.431348514149319	0	0.0340286361548136	0.00201005025125628	0.407549652640181	1.03575913288706
SRR1310275	0.58451301253416	0.0057136565607757	0.296021069444483	0.000124455413707728	0.113627806046874	0.00301507537688442	0.329553116414441	1.08898389395543
SRR1310542	0.599417733952814	0	0.218764934270397	0	0.181817331776789	0.0100502512562814	0.260435102110984	1.13831797963957
SRR1310584	0.852399462033249	0.0111505061971374	0.0675208046808782	0.00201520247015761	0.0669140246185781	0	0.775196556719533	0.719741508805373
SRR1311018	0.586209841460498	0	0.379806979295495	0	0.0339831792440069	0	0.604396091454482	0.855568362707926
SRR1311266	0.725354191131598	0	0.21353532450097	0.00283831334482228	0.0582721710226092	0	0.596761463026709	0.896746046875495
SRR1312501	0.500064118953434	0	0.344040198798729	0	0.155895682247836	0.00804020100502513	0.272536250575766	1.103921522592
SRR1314873	0.276730561291623	0	0.539273177794051	0	0.183996260914326	0.00603015075376884	0.279167098862585	1.08554675731556
